i,encoding,dataset,selectivity,query_time
1,FOR,linear_200M_uint32.txt,0.01,1.19155
1,FOR,linear_200M_uint32.txt,0.05,1.22836
1,FOR,linear_200M_uint32.txt,0.1,1.23994
1,FOR,linear_200M_uint32.txt,1.0,1.24794
1,FOR,linear_200M_uint32.txt,10.0,1.88725
1,FOR,books_200M_uint32.txt,0.001,0.894981
1,FOR,books_200M_uint32.txt,0.01,1.05269
1,FOR,books_200M_uint32.txt,0.05,1.09925
1,FOR,books_200M_uint32.txt,0.1,1.10421
1,FOR,books_200M_uint32.txt,1.0,1.10991
1,FOR,books_200M_uint32.txt,10.0,1.76345
2,LECO,normal_200M_uint32.txt,0.001,0.703296
2,LECO,normal_200M_uint32.txt,0.01,0.848393
2,LECO,normal_200M_uint32.txt,0.05,0.875839
2,LECO,normal_200M_uint32.txt,0.1,0.87255
2,LECO,normal_200M_uint32.txt,1.0,0.89592
2,LECO,normal_200M_uint32.txt,10.0,1.65085
2,LECO,linear_200M_uint32.txt,0.001,0.705281
2,LECO,linear_200M_uint32.txt,0.01,0.840524
2,LECO,linear_200M_uint32.txt,0.05,0.86725
2,LECO,linear_200M_uint32.txt,0.1,0.878436
2,LECO,linear_200M_uint32.txt,1.0,0.905113
2,LECO,linear_200M_uint32.txt,10.0,1.65939
2,LECO,books_200M_uint32.txt,0.001,0.864668
2,LECO,books_200M_uint32.txt,0.01,1.0132
2,LECO,books_200M_uint32.txt,0.05,1.04484
2,LECO,books_200M_uint32.txt,0.1,1.05626
2,LECO,books_200M_uint32.txt,1.0,1.07149
2,LECO,books_200M_uint32.txt,10.0,1.82428
2,PLAIN,normal_200M_uint32.txt,0.001,1.27406
2,PLAIN,normal_200M_uint32.txt,0.01,1.64113
2,PLAIN,normal_200M_uint32.txt,0.05,1.73249
2,PLAIN,normal_200M_uint32.txt,0.1,1.731
2,PLAIN,normal_200M_uint32.txt,1.0,1.74467
2,PLAIN,normal_200M_uint32.txt,10.0,2.30382
2,PLAIN,linear_200M_uint32.txt,0.001,1.2818
2,PLAIN,linear_200M_uint32.txt,0.01,1.64249
2,PLAIN,linear_200M_uint32.txt,0.05,1.72466
2,PLAIN,linear_200M_uint32.txt,0.1,1.70503
2,PLAIN,linear_200M_uint32.txt,1.0,1.75064
2,PLAIN,linear_200M_uint32.txt,10.0,2.3281
2,PLAIN,books_200M_uint32.txt,0.001,1.33628
2,PLAIN,books_200M_uint32.txt,0.01,1.63997
2,PLAIN,books_200M_uint32.txt,0.05,1.73888
2,PLAIN,books_200M_uint32.txt,0.1,1.72153
2,PLAIN,books_200M_uint32.txt,1.0,1.74772
2,PLAIN,books_200M_uint32.txt,10.0,2.30932
2,FOR,normal_200M_uint32.txt,0.001,0.91512
2,FOR,normal_200M_uint32.txt,0.01,1.14228
2,FOR,normal_200M_uint32.txt,0.05,1.19374
2,FOR,normal_200M_uint32.txt,0.1,1.18728
2,FOR,normal_200M_uint32.txt,1.0,1.21833
2,FOR,normal_200M_uint32.txt,10.0,1.84722
2,FOR,linear_200M_uint32.txt,0.001,0.938772
2,FOR,linear_200M_uint32.txt,0.01,1.20497
2,FOR,linear_200M_uint32.txt,0.05,1.2183
2,FOR,linear_200M_uint32.txt,0.1,1.23866
2,FOR,linear_200M_uint32.txt,1.0,1.2549
2,FOR,linear_200M_uint32.txt,10.0,1.87887
2,FOR,books_200M_uint32.txt,0.001,0.896004
2,FOR,books_200M_uint32.txt,0.01,1.04824
2,FOR,books_200M_uint32.txt,0.05,1.08828
2,FOR,books_200M_uint32.txt,0.1,1.09988
2,FOR,books_200M_uint32.txt,1.0,1.1271
2,FOR,books_200M_uint32.txt,10.0,1.75935
3,LECO,normal_200M_uint32.txt,0.001,0.70526
3,LECO,normal_200M_uint32.txt,0.01,0.832866
3,LECO,normal_200M_uint32.txt,0.05,0.871213
3,LECO,normal_200M_uint32.txt,0.1,0.858165
3,LECO,normal_200M_uint32.txt,1.0,0.889129
3,LECO,normal_200M_uint32.txt,10.0,1.65296
3,LECO,linear_200M_uint32.txt,0.001,0.717982
3,LECO,linear_200M_uint32.txt,0.01,0.82601
3,LECO,linear_200M_uint32.txt,0.05,0.8667
3,LECO,linear_200M_uint32.txt,0.1,0.866731
3,LECO,linear_200M_uint32.txt,1.0,0.90138
3,LECO,linear_200M_uint32.txt,10.0,1.64257
3,LECO,books_200M_uint32.txt,0.001,0.854698
3,LECO,books_200M_uint32.txt,0.01,1.00042
3,LECO,books_200M_uint32.txt,0.05,1.02267
3,LECO,books_200M_uint32.txt,0.1,1.03729
3,LECO,books_200M_uint32.txt,1.0,1.08186
3,LECO,books_200M_uint32.txt,10.0,1.82214
3,PLAIN,normal_200M_uint32.txt,0.001,1.27207
3,PLAIN,normal_200M_uint32.txt,0.01,1.65123
3,PLAIN,normal_200M_uint32.txt,0.05,1.71734
3,PLAIN,normal_200M_uint32.txt,0.1,1.72086
3,PLAIN,normal_200M_uint32.txt,1.0,1.75219
3,PLAIN,normal_200M_uint32.txt,10.0,2.32517
3,PLAIN,linear_200M_uint32.txt,0.001,1.2861
3,PLAIN,linear_200M_uint32.txt,0.01,1.63766
3,PLAIN,linear_200M_uint32.txt,0.05,1.72287
3,PLAIN,linear_200M_uint32.txt,0.1,1.69786
3,PLAIN,linear_200M_uint32.txt,1.0,1.75145
3,PLAIN,linear_200M_uint32.txt,10.0,2.3234
3,PLAIN,books_200M_uint32.txt,0.001,1.3669
3,PLAIN,books_200M_uint32.txt,0.01,1.64136
3,PLAIN,books_200M_uint32.txt,0.05,1.6934
3,PLAIN,books_200M_uint32.txt,0.1,1.72779
3,PLAIN,books_200M_uint32.txt,1.0,1.74313
3,PLAIN,books_200M_uint32.txt,10.0,2.3349
3,FOR,normal_200M_uint32.txt,0.001,0.917347
3,FOR,normal_200M_uint32.txt,0.01,1.13683
3,FOR,normal_200M_uint32.txt,0.05,1.18378
3,FOR,normal_200M_uint32.txt,0.1,1.192
3,FOR,normal_200M_uint32.txt,1.0,1.18426
3,FOR,normal_200M_uint32.txt,10.0,1.84913
3,FOR,linear_200M_uint32.txt,0.001,0.93718
3,FOR,linear_200M_uint32.txt,0.01,1.18241
